Date,SB1 (Wide Buffer),Swap30 (Force Swap),Hybrid (Super Rookie),S&P 500
2021-07-22,108596.60137290001,104188.12994446282,108923.88903473376,118784.7057701992
2021-07-23,108884.47384757042,104647.3414795733,109636.46699570178,120006.76351648991
2021-07-26,109664.4173595333,105032.42208134657,110125.29504059313,120301.3583380851
2021-07-27,109991.08085173606,104662.71665608411,110383.30155991076,119753.08291961355
2021-07-28,110582.61100882529,105082.27401097302,110936.78187607287,119703.98230605967
2021-07-29,111476.18558615683,105280.73398301129,111823.43173645495,120200.44603415532
2021-07-30,110379.64805525779,104709.35087868695,111181.58494995593,119616.68740433709
2021-08-02,109378.09015196799,104404.35503075604,110723.29445312975,119365.73560373909
2021-08-03,110822.6607944393,105516.36138058668,112036.25400207995,120336.82382997543
2021-08-04,108947.98192900658,104732.29337407117,110728.3654064989,119744.88767105034
2021-08-05,109817.28112143515,105257.22348290449,110985.80615662098,120503.2095251292
2021-08-06,110719.79381484032,105849.90729508405,111718.64667175768,120702.34963535132
2021-08-09,110895.62140769004,105958.62316353802,112001.33853577137,120604.15726797169
2021-08-10,111869.43530005454,106680.08086236005,112491.81523560046,120754.16132572721
2021-08-11,113176.51161307334,107361.163439951,113738.18572281359,121054.23145933545
2021-08-12,113413.1112987423,107591.9542325688,113663.23254440783,121417.02846843297
2021-08-13,113336.53478545188,107437.4083649159,113905.28963135243,121637.98122942551
2021-08-16,112194.52724188803,106987.66230046278,113113.83524750231,121924.40738164201
2021-08-17,111362.23561400412,106123.21828507428,112037.6819386339,121125.13586393159
2021-08-18,110128.87595862387,105490.8914352513,111305.36815689564,119799.43701743276
2021-08-19,108295.32472151755,104633.67629532819,109795.30727051257,119984.91542680678
2021-08-20,109762.40662688256,105581.93932753091,111310.55086563586,120939.67517401392
2021-08-23,110819.34163222312,106667.11271364693,111677.53282246113,122003.52475425773
2021-08-24,112338.96951613425,107241.89175306802,112711.95776066303,122197.18069273859
2021-08-25,113177.29100165366,107447.62892923836,113152.12593922138,122453.60780534965
2021-08-26,111863.83316931724,106631.61341271881,111647.91542133808,121730.74258343295
2021-08-27,114360.45923552512,107789.8138107777,113617.13095554829,122819.107031541
2021-08-30,112900.76314291953,107362.34168095593,112353.95356068134,123359.23150009019
2021-08-31,113136.0307995224,107143.5897004414,112593.45709090709,123176.43758835364
2021-09-01,112048.72039951323,106842.40422207837,111998.36938720226,123241.92869903396
2021-09-02,113669.6410690689,107555.93933274274,112881.22286468028,123621.08962607342
2021-09-03,112932.58660091399,107258.70779093748,112308.03061538219,123591.08172673977
2021-09-07,112245.22131122589,106509.1841188336,111616.40451674938,123149.18506448287
2021-09-08,110541.80410541533,106163.03429503446,110059.591139369,122999.163287271
2021-09-09,111249.91130031584,106371.91249033934,110833.84915786266,122472.68280011354
2021-09-10,111246.78775180815,106201.33981120115,111048.09582381725,121507.04330670572
2021-09-13,112803.77454914092,107133.31200713164,112323.60137038707,121818.010905971
2021-09-14,111717.22602237701,106611.60029047972,112033.20575576305,121160.60135582191
2021-09-15,114785.3245808029,108181.82670325285,114201.8437905836,122172.63924568985
2021-09-16,114395.50033512115,107893.47080412871,113927.75204284191,121978.95672802441
2021-09-17,113647.9941915512,107501.37494017606,113412.08312232494,120790.77858228047
2021-09-20,110708.86704959869,105898.88116820341,111115.28084380626,118776.64341755862
2021-09-21,111306.14030017852,105952.07163508421,111339.24419028759,118664.47925884476
2021-09-22,113737.56205501556,106705.23574107175,113160.85887153148,119822.02046455453
2021-09-23,117217.9888185501,108233.35371058469,115876.93501098156,121277.85985823727
2021-09-24,117249.36481609344,108191.20252650266,115990.90375716686,121477.60242997536
2021-09-27,119297.2388853073,109543.312268076,118205.01661880016,121130.07073252587
2021-09-28,118664.8658498764,108801.52021983152,117354.18155486583,118689.10930317528
2021-09-29,118830.57872142791,109045.25928881651,117670.941507411,118888.86959436975
2021-09-30,116959.55885066986,107981.39620593077,115402.05379683971,117435.75013723719
2021-10-01,120443.80192699432,109681.14023526198,118629.93563659191,118831.37881823276
2021-10-04,122016.28327312469,110122.70025189406,119671.76915938854,117298.93821473642
2021-10-05,122496.29461612701,110311.66449101454,119507.90209014415,118519.41892941171
2021-10-06,121969.9013437271,110190.15932591444,119240.2725620985,119011.99323683791
2021-10-07,123001.84482178687,110878.3070188523,120396.37258407116,120040.93548806648
2021-10-08,123829.97483620643,111081.5566756869,120695.0004565382,119822.02046455453
2021-10-11,123769.5437162876,110584.34837147241,120271.49189254284,118954.56447879813
2021-10-12,123949.17159256934,110723.17706184869,120516.20738479137,118661.73274311004
2021-10-13,123834.2036093235,110711.92264683252,120508.29910537243,119088.62102583604
2021-10-14,125454.17865166663,111577.30460903651,121712.01109572887,121091.78784707542
2021-10-15,125320.35379586219,111570.82763962274,121216.85803481578,122013.98809323412
2021-10-18,126465.24086937903,111897.05613087183,122247.17728682994,122375.19921098805
2021-10-19,127214.74570641517,112528.82798371799,123344.22627517223,123319.33614411163
2021-10-20,127278.6247004032,113040.91775424487,123476.20551940441,123803.68862379008
2021-10-21,126643.63438401221,112936.64796552187,123041.98218795299,124126.60799636539
2021-10-22,127176.18963036536,113160.4326556731,123560.60832854747,123997.96474324331
2021-10-25,127837.13491997718,113965.15848536976,124905.35188933849,124662.9670804396
2021-10-26,127689.98079476356,113875.00403649337,124313.19476195812,124775.14009888166
2021-10-27,125479.02162537574,112401.70718026168,122696.36705276014,124222.37279822465
2021-10-28,127234.12087044715,114015.48022721297,123927.85440322399,125420.9699843041
2021-10-29,127041.18906579017,114048.81981919296,123623.2362162733,125675.47453590087
2021-11-01,129023.79720864295,115258.29826853759,124993.65459319591,125891.63418394994
2021-11-02,126352.28493294715,114160.61909327513,122197.62314864635,126400.64328714344
2021-11-03,127928.42687020301,115153.27475479133,124206.12847396373,127172.35219049692
2021-11-04,128031.54529747962,115954.23158767707,123962.56080886364,127771.65964326482
2021-11-05,129167.35323891639,115981.82964241988,124495.19222518444,128214.9827217581
2021-11-08,129842.16947731971,116446.0970193196,124970.10586043834,128324.45352310635
2021-11-09,130162.62259850501,116508.29701970107,125191.98039504528,127900.27631720238
2021-11-10,128894.50519356727,114169.64512513168,123981.6191661024,126871.3340659738
2021-11-11,130066.35119042396,115746.20308872231,125330.92981215953,126912.36346715892
2021-11-12,130352.38423333167,115797.19000078208,125725.76114913463,127870.14438167425
2021-11-15,131282.3525484562,115934.03381753928,126498.26932021618,127913.96459723498
2021-11-16,129801.22607216834,115431.63739591606,125057.58162948131,128420.21832496562
2021-11-17,128894.56892952918,114601.65119367607,124442.85770675182,128108.2495764164
2021-11-18,129819.81957802772,114800.95163162239,125028.05719634533,128543.35968689012
2021-11-19,128181.13156685828,113692.20428573617,124062.43493529796,128313.50289908025
2021-11-22,128455.0679224491,113971.93668949135,124684.66299315929,127952.27406186995
2021-11-23,129811.0398806095,114775.67147819526,125061.11910888195,128121.92899672083
2021-11-24,130558.33181939124,115512.84315349587,125151.48893233776,128464.00310161363
2021-11-26,126903.16843590736,112769.10212299354,122438.06756850719,125598.86446635908
2021-11-29,127937.6863726139,113525.48750499733,122850.43272658825,127139.51803787498
2021-11-30,123617.41183648109,110845.02874650963,118842.77178451061,124665.68701698977
2021-12-01,121145.30978951453,109222.27052583703,116667.57835265636,123281.00010029212
2021-12-02,123282.34784111976,110770.84839239129,118800.11859389782,125169.21194844205
2021-12-03,122952.45684990882,109954.02186212548,118350.15309401989,124080.06784425449
2021-12-06,123988.49763493537,110211.17836498507,118761.33807898522,125549.62209715437
2021-12-07,127833.11008076667,112726.65408989199,121666.20413161279,128146.55904105137
2021-12-08,127499.6499405384,112716.55796360977,121818.19265318871,128485.88663020948
2021-12-09,125179.1412849903,111220.46198060043,120338.4583010769,127618.42178472491
2021-12-10,126880.45927043437,112687.90069890983,121617.45584088803,128819.74776708272
2021-12-13,124255.48626037121,111507.22360826499,119812.73873979092,127678.61477795572
2021-12-14,123461.82703681468,110932.28205514915,119119.08011323452,126800.19930844507
2021-12-15,124862.04982181071,112115.95824758537,120808.63794690609,128781.43830244773
2021-12-16,124979.41175647257,111983.67054521569,120621.87361699581,127645.78062533378
2021-12-17,123795.4400758314,111095.50487634666,119710.74623567105,126287.27420539755
2021-12-20,121593.38883204936,109765.70045778282,117799.33290082455,124944.39634596459
2021-12-21,126043.47595979451,112367.92804690608,121014.12377311468,127163.2886885724
2021-12-22,128018.8278045821,113260.4203374029,122625.35530235052,128434.74827917501
2021-12-23,129053.22465516804,113740.96454209574,123522.70527602911,129233.87804123458
2021-12-27,131696.0129441619,115194.74918123253,125277.29335105658,131062.81830788407
2021-12-28,131366.533444345,115159.7532834626,124988.8217781806,130955.71305395894
