,Day 1,Day 5,Day 10,Day 15,Day 20,Day 25,Split (1/10/20),S&P 500
2023-11-22,153111.30236926812,138525.42191546698,142837.32011980077,132565.98431945825,127091.52417616389,165148.80781947396,141013.38222174425,128391.96465181091
2023-11-24,154067.73384967583,140208.80991595527,144611.2990245249,134043.90546585107,128596.7814240887,165734.66386042855,142425.27143276314,128470.9757076885
2023-11-27,154421.75918689507,140739.59452670356,144918.24327272436,134080.94870162988,129036.9076753094,165890.50555811194,142792.30337830962,128239.61276608864
2023-11-28,154164.11539569634,141109.37816851874,145421.93078416845,133764.131852875,129639.00411848567,165901.1628342655,143075.0167661168,128366.58153058538
2023-11-29,152220.50445285576,139759.2578224494,144827.93634599706,133484.34256149316,128890.16355757258,164508.36448679236,141979.53478547515,128276.283181011
2023-11-30,153626.72701373833,139659.12636798163,144227.77939409277,133443.7516763308,129353.84123854182,164691.2857552555,142402.78254879097,128781.38514407867
2023-12-01,154828.33117278834,142250.76098101874,146607.4110621836,135590.80661941553,131317.39713911555,167526.7285233524,144251.04645802916,129543.22431024359
2023-12-04,155798.732185209,143059.90519946357,147166.54711717626,135861.38805175805,132121.79137281916,168393.4918023136,145029.02355840147,128863.18701433185
2023-12-05,154741.54726775904,141472.01069600362,146258.55610841772,134787.0146539309,131097.69299940608,166671.94307718542,144032.59879186095,128837.8038931063
2023-12-06,155194.7054022195,141002.58547551412,145417.10629076025,134158.2515428164,130837.57002882502,166396.24358377722,143816.46057393492,128318.61496223806
2023-12-07,157346.85943588038,142659.57455785057,147081.01349824926,135524.6827561953,131944.97624830744,167850.43146143225,145457.6163941457,129297.73896193046
2023-12-08,159436.45478805323,144239.33348805687,149608.4308375742,138269.4122445681,133749.76694349787,170533.87578211096,147598.2175230418,129853.6160271774
2023-12-11,159195.4625128152,145417.8387485244,149318.3530704882,137795.59288955713,132950.63063673518,171919.1871109989,147154.81540667953,130358.68255133239
2023-12-12,158954.35771545192,146054.03354604024,150461.8705265429,137674.4602487185,133153.0905595257,173044.70647440222,147523.1062671735,130954.0651445181
2023-12-13,163041.2671850564,149317.860602925,153638.8956272509,140993.78290344262,136095.42277388118,177261.10866556433,150925.19519539617,132759.92581926793
2023-12-14,162022.64323791285,148661.61762959737,153414.08920024894,141370.73177124048,134620.25118116877,176562.20212564734,150018.99453977685,133186.016726458
2023-12-15,160936.01337035914,147749.49103505394,152649.37954448722,139534.0609283879,133172.28131727717,174856.54714212683,148919.2247440412,132966.71187490632
2023-12-18,162225.9524687173,149469.25192219994,154073.14372753166,139800.99257473493,134586.33808760188,176111.9680901554,150295.14476128362,133714.66784701872
2023-12-19,164270.74493392726,151178.19336659688,155407.0147602465,140766.6903419926,136102.51376204035,178299.90707025793,151926.75781873803,134527.7605406844
2023-12-20,161553.26352294703,149005.6613002517,152976.852505913,138644.9032593205,133780.60930821678,175512.3878556278,149436.90844569227,132663.59399480536
2023-12-21,164025.8066748025,150743.9037242629,154705.61947368644,140057.18894772077,137653.39629742882,177882.4856492069,152128.27414863926,133921.498201298
2023-12-22,165422.05037292262,151729.10219151754,156034.99531291984,140433.56783871198,138249.48926923057,179321.1788636234,153235.51165169102,134190.63016411406
2023-12-26,165350.5243299844,152212.81588322896,156778.92795299552,141631.16607670332,138182.44035908958,179313.97163918286,153437.2975473565,134757.24521991087
2023-12-27,167683.3315008523,153696.33812291402,158573.87450908683,141828.8712673619,139820.1353406646,180613.83632996347,155359.1137835346,135000.90546421963
2023-12-28,167585.96622833033,153308.27846867818,158332.3408024218,141530.62309650923,139438.147608731,180234.2847838667,155118.81821316105,135051.8931998751
2023-12-29,165254.11747344752,151451.6520572402,156285.31641887687,140550.79388622785,136912.51391885063,177793.17481186657,152817.31593705833,134660.92225517647
2024-01-02,162375.28390521783,149624.80374104757,154212.2909748461,140216.40332417036,132903.29517552635,173700.75733711984,149830.2900185301,133907.31377648748
2024-01-03,161021.17689914483,149216.8901935317,153747.85537456535,138303.95538715864,130523.58185002586,171439.44671395092,148430.87137457868,132813.72208875534
2024-01-04,161617.97184009332,148804.34468037865,153764.24002574943,138078.73574451948,130895.86591622612,172095.88947060375,148759.3592606896,132385.93011375537
2024-01-05,161805.13241214532,147765.817810724,153434.68381999992,138218.51074223066,130832.71492764732,172897.21895745068,148690.84371993085,132567.26217034282
2024-01-08,164569.7429429986,149408.57402868054,156064.05400585197,140579.90890507246,133706.96139237663,176063.34807350903,151446.91944707572,134459.77098665832
2024-01-09,163932.0457994439,147584.558958719,155571.00984691642,140744.5731220677,133013.28957555076,174281.0281291273,150838.78174063703,134255.78460512368
2024-01-10,164783.68008441705,146947.38864393017,155556.38537697814,141845.64624218488,133042.60094067833,174865.71805527477,151127.55546735783,135015.0633098456
2024-01-11,164358.66267795343,147567.8840014436,154681.95564370177,142307.96242336775,131954.79399487755,174335.66896775036,150331.8041055109,134955.5790948689
2024-01-12,162603.0000459649,146685.35333890698,152320.88462548278,142612.71598057295,129464.49265954277,172661.10110619335,148129.45911033015,135049.04922713048
2024-01-16,162908.18580646295,146575.27418393872,152815.00140862487,142183.3147392037,130144.13431451103,173051.75505783825,148622.44050986628,134553.2676981044
2024-01-17,162083.13277835626,145063.1783778169,150965.24302773498,141015.3250541451,128737.08298203727,171999.21443703442,147261.81959604283,133805.32944544833
2024-01-18,162337.58840961236,145593.55127019665,150658.23408989928,140836.85653684163,129825.90471169731,173213.51829483776,147607.2424037363,134995.2352381867
2024-01-19,163664.9634935357,147339.39555425427,152527.9922800543,141745.03733060384,131378.94695088646,174096.01008179455,149190.63424149217,136678.09630666283
2024-01-22,164641.23775119561,148298.06437749646,153691.6941729071,142787.06162259603,131144.36675803442,175259.44796326428,149825.76622737906,136967.0917800505
2024-01-23,163395.74533481378,147378.25415487072,152967.09045510314,142718.33347318196,130801.09540717382,173392.57473709848,149054.6437323636,137366.5503443422
2024-01-24,162715.22595996637,147262.58855314038,152580.3388491156,141632.05144498372,129847.09866111059,171933.15303375985,148380.88782339753,137516.71387720486
2024-01-25,165146.39642352838,149158.26051206372,154354.03168206237,143360.76182172322,132005.9598175742,174306.97732455045,150502.12930772165,138264.65212986094
2024-01-26,165612.7118074395,149979.86053533337,155210.8784533026,144064.36768720174,132963.1824738242,173893.2017393759,151262.2575781888,138089.00801876278
2024-01-29,167795.666488836,150448.3219916322,156961.62082390807,145534.3306426766,133723.9967934348,174798.71283251554,152827.09470205964,139182.58198703857
2024-01-30,167536.64091510553,150079.20512265942,156004.46804909728,144503.8283920052,132820.23609702368,174783.6854048422,152120.44835374216,139074.9274299665
2024-01-31,165354.96751041192,147553.21703977368,153375.56239037536,142420.3603667977,130829.2031456687,172314.21867663175,149853.24434881867,136805.60551457832
2024-02-01,167009.39452375195,148682.53204221508,154938.6495066168,143473.8758353951,132373.72767035742,174450.7115011862,151440.59056690874,138596.1388595829
2024-02-02,168372.5261651399,150806.57350797436,156198.39336495422,145079.4077720406,135329.8334442832,177986.37265688687,153300.25099145912,140055.1854748655
2024-02-05,166598.50176252148,148695.32559216282,155153.3615656378,142279.86771771932,134112.30716864843,177510.93506151944,151954.72349893593,139545.21952102892
2024-02-06,165516.76473249219,148548.1715890195,155810.45025353454,142241.25797269368,134550.20009772558,176078.91471392423,151959.13836125078,139950.36603080988
2024-02-07,165349.01070798657,149701.5014001157,156877.5641375067,142802.7480544808,135423.67150275485,176991.05476290494,152550.08211608272,141117.6086388729
2024-02-08,165456.33605207226,149996.76875317356,157926.88187890075,144027.98766706014,135191.92019049902,176821.44374377042,152858.37937382402,141179.92796686603
2024-02-09,165346.55579389352,150633.28406918308,159951.12700753234,146039.49334714437,135265.63199774997,177853.97092348844,153521.1049330586,141995.87349300453
2024-02-12,165930.28733457348,150721.63241970798,160552.00044899964,146870.9779548409,137537.04487769384,180489.05990893155,154673.11088708902,141933.5453052832
2024-02-13,163445.95283139966,149423.5034867551,158800.3555362799,143962.00242612386,135683.45337455053,177518.8747015646,152643.25391407672,139978.69944151817
2024-02-14,164927.9693604829,151051.56845486423,161100.10320168518,146943.29241941,137194.0441033103,179991.0601225546,154407.37222182614,141250.74377418042
2024-02-15,166814.25616086743,152685.57890332004,167330.9585102179,149171.84419791723,143135.9368035056,182193.47117144376,159093.717158197,142225.35817223098
2024-02-16,165864.6104165437,152676.0817490842,168252.07337075257,150181.1221558335,143449.7758118369,180869.3974714926,159188.81986637774,141517.0760628927
2024-02-20,165734.05073941968,151458.29008877536,166340.82145577454,148178.2075478318,142033.52822499533,180096.5651617697,158036.13347339653,140737.9781462401
2024-02-21,166028.95154966137,151121.02487576267,165857.2983539679,147705.2999569657,140329.56795888205,180276.86148363858,157405.27262083712,140865.46077497106
2024-02-22,168635.75444043896,155776.50247967502,170285.75591164612,150283.0077530625,144730.0200539138,185712.12172228604,161217.17680199965,143780.73661197614
2024-02-23,169662.29928220532,156053.47436917087,170415.0864246466,149596.37889640356,144555.86933522482,185908.61770922452,161544.41834735894,143879.894689727
2024-02-26,168614.52263273022,155130.02323162815,170377.03360634827,151942.48014419104,146823.8582115676,185595.35656216415,161938.47148354872,143352.935777248
2024-02-27,169713.65150083325,156288.5760232236,171153.6203220465,153375.85966651465,148033.62268452902,188520.4224648741,162966.96483580294,143619.24148677578
2024-02-28,169318.9889069917,155657.86088574192,170039.922369776,153090.48090140845,147597.8339272048,186876.44961407455,162318.91506799086,143429.4218105953
2024-02-29,170305.5449792268,156560.10778439307,171964.54702645325,155222.86198394324,149143.81499867697,189727.56083920272,163804.63566811904,143945.0579904648
2024-03-01,171025.1838881185,158634.16551602146,174891.5964725592,156914.25708930517,151055.34040456076,193339.20516827377,165657.37358841285,145296.44118894718
2024-03-04,171747.6110655477,160194.2219506528,175976.71556740784,159311.09761397864,153428.12234883566,197189.78793957504,167050.81632726375,145140.6340092361
2024-03-05,170721.0064665487,158320.35064919732,174904.87329751038,157092.01846282507,151832.836444905,194569.89829876693,165819.5720696547,143690.0750135465
2024-03-06,172456.751019161,160940.22628052972,176771.1460178473,160382.02385489966,155554.5885277297,199513.02512219222,168260.82852157936,144418.18519454368
2024-03-07,174183.0576368978,162082.5788577392,178487.72240334534,161820.14955298926,157621.37713246603,202551.253778961,170097.3857242364,145851.73351213447
2024-03-08,173625.57672564292,163027.45611413263,176727.86487465882,163094.00510375525,157853.89052205344,203094.5068879393,169402.44404078508,144976.31263074744
2024-03-11,171105.42656389976,161550.6608107879,173410.04649717355,161760.38746612097,156461.24012379904,200109.56316235336,166992.2377282908,144851.64739557658
2024-03-12,173348.8715407064,163259.43201096795,176955.57332593942,163007.3416077378,158966.69076161642,202968.54006054671,169757.04520942076,146409.88752752275
2024-03-13,173840.10422198082,162889.6247638061,176409.74388105416,163379.56457679297,159467.8478813674,203154.26053860458,169905.89866146748,146180.37626911176
2024-03-14,173179.8605086019,161169.51624711297,173821.44859296823,161201.23078315283,157191.03587727805,200717.12665035992,168064.1149929494,145891.39851518042
2024-03-15,173445.53167406822,161151.75825532223,174111.01123411203,161125.2939638665,157122.1465797927,201561.18913891586,168226.22982932432,144889.6379099972
2024-03-18,176191.63231341148,162199.18002541803,174904.08487302804,162268.67516274957,158965.7655678298,204377.10821392806,170020.49425142314,145750.72375119475
2024-03-19,177164.55801073814,162511.24413331295,175440.88912565255,163018.20459313897,158891.69109730978,203148.01503231796,170499.0460779002,146560.7066802705
2024-03-20,178270.77198473716,165295.97709306024,178279.91233427072,164417.94526238946,161909.51992168685,209002.4189934996,172820.06808023158,147916.2450912676
2024-03-21,182747.83479754234,167578.05741151117,182660.7385442927,168849.47640176324,166367.8047460582,214696.3052735594,177258.79269596442,148405.0894531315
2024-03-22,181938.18214098716,165295.81184991144,182113.30434019113,167795.66427178888,165595.8361066844,212270.6283860472,176549.10752928758,148123.7399251601
2024-03-25,183836.34470812583,166350.7875006988,185298.7431219294,169092.94572396783,166360.3882993724,216762.82832406793,178498.49204314256,147714.5002209616
2024-03-26,183491.45082537437,164899.6347812011,184598.9373396113,169261.9548372796,165319.69191875716,216516.3198401812,177803.36002791428,147441.69147095233
2024-03-27,184287.03125445152,166080.8439105346,184765.3926962092,170648.01420159845,166919.92953624984,218037.37087320123,178657.45116230354,148680.76875506996
2024-03-28,185170.5431410482,167645.29571183465,186181.10016996408,171623.29542871026,167659.4911169078,219348.2788245562,179670.37814264002,148652.34674707992
2024-04-01,184799.48100266245,165535.77453645013,184727.9334066584,171842.6283983758,167838.70521679183,218444.84069131647,179122.03987537092,148393.71356215293
2024-04-02,183161.1491106489,163569.23208459164,182921.90945798898,170378.2437548211,165696.3197835948,216158.84550546441,177259.79278407758,147450.22338918623
2024-04-03,184424.98997101572,164660.17451890252,184867.31621152902,171943.67423959283,166849.36511364242,217261.7572181109,178713.8904320624,147612.18807997997
2024-04-04,181599.358730171,163561.95288499142,182113.4224050715,170205.9121508172,164627.01042309066,215172.60392068658,176113.26385277775,145810.41173991948
