,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2022-11-18,147853.753824234,146145.17032146454,140813.93414497375,137687.27013015747,129571.89960956573,125627.88177490234,110015.00040444656
2022-11-21,148295.21873664856,146584.61822795868,140504.09807014465,137381.41974830627,129190.32488155365,125378.54062652588,109614.99257244753
2022-11-22,151977.97530937195,150259.72819423676,143271.8215007782,139778.7308330536,131425.9867143631,127258.5927658081,111090.06630531381
2022-11-23,151512.07129096985,149791.7798948288,143242.94904518127,139808.36642074585,131234.95078277588,127062.30910873413,111790.12652488089
2022-11-25,153516.503408432,151787.62248897552,144828.17983055115,141427.64722442627,132534.32288455963,128163.47971725464,111765.1243741821
2022-11-28,150492.6071949005,148771.2300977707,142798.43693733215,139332.33125305176,130444.51385593414,126345.01473236084,109981.6789697271
2022-11-29,150939.6413860321,149221.6727437973,143487.03014945984,140040.37778282166,131272.43879127502,127031.55338668823,109792.78958174023
2022-11-30,155077.0028629303,153331.1958875656,147439.2542591095,143606.28093910217,134488.17138004303,129809.33423233032,113251.3259246521
2022-12-01,152043.8809108734,150302.9715948105,145150.6455821991,141632.98589897156,132810.46900749207,128365.69306945801,113167.97360935282
2022-12-02,152638.76301765442,150892.31548595428,146141.38154792786,142462.60213279724,133667.00853157043,129065.81005096436,113037.41666651162
2022-12-05,150820.759016037,149085.9016942978,144722.47765159607,140691.33688163757,131620.2863779068,127380.42212677002,111003.9497550684
2022-12-06,148551.73103904724,146831.34007930756,142866.46243858337,139396.9432735443,130515.76178455353,126432.85661697388,109403.865268708
2022-12-07,148007.05149650574,146283.86113643646,142845.48769950867,139342.25676727295,130469.15487289429,126419.81475448608,109217.7312559399
2022-12-08,147911.66069984436,146186.17937755585,143154.6222705841,139752.3190574646,130768.1211605072,126660.99382400513,110073.34170931962
2022-12-09,146079.85327339172,144373.6692609787,141304.04853248596,138084.55359458923,129173.06462860107,125351.81575012207,109251.06155038673
2022-12-12,147294.91071128845,145579.0316915512,142692.83148002625,139296.9625530243,130366.9756193161,126316.91837692261,110826.17046523049
2022-12-13,148086.66620445251,146365.51310634613,143129.8773021698,139879.68930625916,130955.64377880096,126827.40650558472,111665.11577138679
