,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2021-04-23,113431.54673582553,112971.62777708529,109062.46321974276,104954.1459538102,103947.02396461961,103275.41031548742,113307.58755162009
2021-04-26,114420.56400114535,113957.22518156527,110056.80679426668,105752.13195291758,104533.6752702379,103763.31405789618,113544.10687597362
2021-04-27,114157.51069075106,113805.89225386141,110017.29313765047,106137.27617231608,104846.66442123888,104022.42275292639,113519.67174349808
2021-04-28,115389.79046446322,115008.5317840433,110479.07946501253,107033.19804922343,105401.82482488154,104485.00642641309,113487.04136173324
2021-04-29,114399.31427198886,114018.05559156893,110137.0640193033,106843.05957344055,105489.0647685766,104559.40531397107,114210.2610368523
2021-04-30,112473.6330052042,112036.51456831454,108720.81129560946,105408.12712409973,104213.50542027949,103497.78578729871,113459.82427436383
2021-05-03,113068.24357038975,112615.16520308016,109339.700036149,106122.23855236053,105066.45116574763,104201.03692121747,113704.53884800666
2021-05-04,112440.37777525425,112499.1591644144,109325.29102812288,105527.48455932617,104744.6688323736,103923.45323152783,113003.06980748785
2021-05-05,112890.9563809061,112921.23777006625,109896.4556323099,106342.82469108581,105736.49233014582,104744.15935678723,113038.42898577279
2021-05-06,114346.21033674717,114259.07186506748,111206.2419024515,106887.72434642792,106270.1724191427,105188.80252489331,113941.08475154707
2021-05-07,116366.37630850314,116230.21780203341,113042.6422796273,108646.82716908454,107793.6909795904,106449.96040510418,114770.36424206303
2021-05-10,115949.18233877659,115966.92365835665,112492.0309772515,108208.62604703664,107469.32103705405,106170.5346796656,113633.8559303526
2021-05-11,114687.25630194186,114790.49762152194,111639.29303646323,107322.8556927657,106646.50114035603,105491.9182160044,112619.69161587015
2021-05-12,113485.41854483126,113391.43948172091,109724.23798370597,105538.97654709578,105194.79044158934,104291.36002166274,110227.05979174143
2021-05-13,114621.0167160654,114428.99758337496,111273.19116020438,107167.42075524092,106370.35520942687,105259.07280166152,111551.14628502262
2021-05-14,116869.1848145151,116746.70575140475,113486.98450851676,109457.84415802718,108465.07495506285,106998.98925025466,113264.0951421486
2021-05-17,117608.62716299533,117526.04879568575,114376.33847236869,110153.26841912032,109094.7779797077,107519.2179011965,112975.87043957633
2021-05-18,116898.15057379245,116871.4319629526,113414.21288681266,109126.30442032576,107995.8193623805,106611.7243187237,112002.49631723216
2021-05-19,115913.10317999362,115894.36453436373,112408.50701637982,107973.05495047808,106927.18199828861,105727.1804055548,111708.86717999347
2021-05-20,115994.80910498141,115770.87011145114,112664.296101768,108197.88924384356,107085.0029676795,105861.31724542144,112910.62739550459
2021-05-21,116450.5465927744,116312.10759924412,113035.21005364179,108949.59060645342,107691.77895721197,106362.86324304107,112818.1761237924
2021-05-24,116871.22518927096,116715.68602179049,113671.40073516605,109728.95570149184,108092.17056129215,106696.77281777862,113968.27525972959
2021-05-25,115254.21085745333,115124.8920726633,112071.12995269535,108427.55505337477,106911.20179595708,105717.86343080047,113715.42745490021
2021-05-26,116190.56380850315,116006.52464102267,112889.83517711161,109389.7551023674,107664.42274671077,106345.36275468115,113941.08475154707
2021-05-27,116599.78968435763,116470.47089956759,113032.17581908702,110064.95776129724,108205.36588071345,106791.34693551305,114000.89678176548
2021-05-28,116936.71715170382,116681.99854086398,113194.16049449443,110064.10575247766,108219.2056417322,106804.67416978124,114204.83888272793
2021-06-01,118630.27753454684,118477.01885412692,114716.34142653941,112207.03850508691,109912.96090139865,108210.73716595891,114104.21894091331
2021-06-02,118250.33455664157,118168.89556311129,114561.35618178843,112310.55744791985,109774.70049967288,108099.61671021703,114283.68161075542
2021-06-03,118397.57608801364,118243.17716406344,114367.89825217723,112716.48260546685,110196.95022879122,108443.58790162328,113859.51322699945
2021-06-04,118019.63300329684,117816.2140445566,114103.33196132182,112592.34899489403,110186.1099966669,108434.89320084814,114900.84147047756
2021-06-07,118054.2516403818,117647.91282080172,114195.47858207225,112414.63976828576,109979.25732504367,108271.22968766454,114789.3772204142
2021-06-08,117850.85525900363,117478.71678732394,114198.94632046222,112273.46864373208,109962.19715344904,108257.1825117803,114813.86551126352
2021-06-09,117400.18572241307,116869.58732031344,113574.75941174029,111580.1258002329,109305.23641950607,107718.27432853941,114642.54493233692
2021-06-10,117106.97851568698,116424.75990484713,113127.66075603961,111377.12972269536,109098.3004740715,107549.19219444516,115175.44876963615
2021-06-11,116765.42412191867,116647.50516317843,113208.46563512323,111626.91195164919,109307.29834621667,107715.94172836785,115365.77346718493
2021-06-14,115143.72924429415,115018.97056387423,112128.32481938836,110773.84231293917,108627.71017761467,107151.40698872093,115624.0877247835
2021-06-15,115420.53158194064,115282.09258841036,112454.8641145849,110959.96692849397,108780.00872627496,107276.05247807983,115412.01239263448
2021-06-16,114125.96543127536,113946.486368165,111412.86720830438,110108.08340073825,108106.22313514946,106717.1893684912,114767.62658581397
2021-06-17,110909.75844580174,110729.14000891209,108604.55939275264,108144.7392633152,106541.7160318899,105416.61575736527,114729.56519019579
2021-06-18,108618.85756689547,108343.6189212656,106691.60996419427,106559.26627435685,105284.1852421236,104381.05731681352,113181.832558742
2021-06-21,111498.64942938328,111112.83064459322,109518.754335227,108606.41828462601,106905.29329853534,105726.15384273056,114802.1175106607
2021-06-22,111259.25591665744,110855.1975841379,109614.19478017327,108844.24074861527,107089.08690052509,105880.7582929564,115415.88409419061
2021-06-23,110943.90543371676,110535.28699682711,109350.66460842607,108677.4882405758,106956.15523468493,105773.96471816543,115276.75977030976
2021-06-24,111697.44068914889,111174.82225225924,110214.38784832475,109317.01845679284,107459.32996689319,106191.12439376357,115958.70196819764
2021-06-25,113110.12391668795,112507.70495794772,111964.10187191484,110700.18923954964,108552.51864344119,107098.12406589036,116370.62620652896
2021-06-28,112102.08969503878,111638.7508754587,110936.95995754717,109811.10217368603,107853.65674402713,106519.23911437514,116605.20525023995
2021-06-29,111464.64713675021,111105.0487346506,110486.91028255937,109384.03543633939,107515.55604165554,106241.73912079338,116667.9675702025
2021-06-30,112690.98558889865,112368.3620484209,111451.18756690976,110338.18836043835,108271.29258243083,106868.2049436045,116766.15108655272
2021-07-01,113198.09648596286,113056.88870934008,112171.35769477842,110939.38391326428,108740.255659976,107259.3081101847,117412.6366491371
2021-07-02,113046.35378347873,113036.09631660937,111863.2167398071,110781.16301368237,108614.56470004558,107155.07357115272,118310.08289428208
2021-07-06,111902.96867834567,111766.07231834889,110151.1224996185,109553.23218368053,107647.48995296001,106353.63219351295,118094.56112756707
2021-07-07,112231.12962042331,112326.96437767506,109879.63627830503,109261.14901183607,107420.3575085783,106170.06826300148,118511.93409920965
2021-07-08,111272.39347921847,111247.36174705981,109039.01577392576,108492.22939765453,106812.74893596172,105666.08777809623,117546.29452024879
